Date,BBCA.JK,BBRI.JK,BMRI.JK,TLKM.JK,ASII.JK,UNVR.JK,ICBP.JK,INDF.JK,ANTM.JK,BRPT.JK,CPIN.JK,EXCL.JK,GGRM.JK,HMSP.JK,KLBF.JK,MDKA.JK,PGAS.JK,PTBA.JK,SCMA.JK,TINS.JK,TKIM.JK,TOWR.JK,UNTR.JK,WIKA.JK,ADRO.JK,BSDE.JK,ELSA.JK,INTP.JK,JPFA.JK,SMGR.JK
2023-12-14,8539.4951171875,4818.83740234375,5143.0888671875,3442.02197265625,4738.16796875,3144.5068359375,10127.5966796875,5915.26171875,1441.3253173828125,1610.9515380859375,4982.89501953125,1834.022216796875,19519.1015625,765.5701904296875,1531.58203125,2330.0,892.863525390625,1771.4649658203125,127.10636901855469,584.2420043945312,6898.91796875,945.2652587890625,18282.615234375,242.0,1879.7891845703125,1045.0,325.85986328125,8755.833984375,1110.098388671875,5839.44091796875
2023-12-15,8704.6240234375,4818.83740234375,5099.86962890625,3476.966552734375,4759.22607421875,3236.9921875,9983.9423828125,5845.94189453125,1467.69091796875,1605.9639892578125,4861.361328125,1819.8780517578125,19613.740234375,752.950927734375,1531.58203125,2320.0,884.672119140625,1771.4649658203125,126.25901794433594,588.95361328125,6824.46923828125,950.9710693359375,18133.45703125,240.0,1902.437255859375,1045.0,325.85986328125,8755.833984375,1096.2796630859375,5863.08251953125
2023-12-18,8681.03515625,4775.4248046875,5121.4794921875,3468.230224609375,4717.109375,3153.755126953125,10151.5380859375,5799.72900390625,1463.2967529296875,1461.3275146484375,4832.19287109375,1786.8751220703125,19258.84765625,740.3316040039062,1545.9405517578125,2290.0,872.385009765625,1786.8023681640625,125.41162872314453,574.8187255859375,6700.38818359375,908.1773681640625,18580.93359375,240.0,1894.8878173828125,1030.0,325.85986328125,8755.833984375,1096.2796630859375,5792.158203125
2023-12-19,8728.2138671875,4818.83740234375,5164.69873046875,3468.230224609375,4738.16796875,3172.25244140625,10127.5966796875,5845.94189453125,1441.3253173828125,1566.0643310546875,4934.28173828125,1834.022216796875,19164.208984375,736.1251831054688,1589.016357421875,2290.0,896.959228515625,1817.4771728515625,126.25901794433594,579.5303344726562,6700.38818359375,922.44189453125,18602.2421875,240.0,1962.8319091796875,1045.0,331.0322265625,8661.6845703125,1100.885986328125,5839.44091796875
2023-12-20,8775.3935546875,4818.83740234375,5121.4794921875,3459.494140625,4738.16796875,3199.998291015625,10127.5966796875,5799.72900390625,1436.9310302734375,1511.2021484375,4885.66845703125,1862.310546875,19022.251953125,727.7123413085938,1545.9405517578125,2570.0,905.1506958007812,1809.808349609375,126.25901794433594,593.6652221679688,7072.6318359375,931.95166015625,18580.93359375,240.0,1947.7335205078125,1060.0,332.75634765625,8614.611328125,1096.2796630859375,5886.72412109375
2023-12-21,8798.982421875,4840.54443359375,5164.69873046875,3450.75830078125,4674.99267578125,3209.246826171875,10103.6533203125,5799.72900390625,1436.9310302734375,1471.302490234375,4885.66845703125,1867.025146484375,19116.888671875,736.1251831054688,1531.58203125,2570.0,901.0549926757812,1825.145751953125,125.41162872314453,588.95361328125,7072.6318359375,908.1773681640625,18751.400390625,240.0,1962.8319091796875,1045.0,334.48046875,8614.611328125,1096.2796630859375,5815.7998046875
2023-12-22,8798.982421875,4927.3701171875,5164.69873046875,3459.494140625,4674.99267578125,3209.246826171875,10079.7109375,5799.72900390625,1463.2967529296875,1406.46533203125,4861.361328125,1895.3134765625,19045.91015625,744.5380249023438,1517.223388671875,2720.0,901.0549926757812,1840.4830322265625,127.10636901855469,588.95361328125,6998.18310546875,917.6871337890625,18772.708984375,240.0,1955.28271484375,1060.0,336.20458984375,8732.296875,1100.885986328125,5934.0068359375
2023-12-27,8846.162109375,4883.95751953125,5186.30859375,3442.02197265625,4674.99267578125,3209.246826171875,10127.5966796875,5869.04833984375,1524.816650390625,1421.427734375,4841.916015625,1857.5958251953125,18927.61328125,748.7445068359375,1550.726806640625,2680.0,901.0549926757812,1871.1578369140625,125.41162872314453,607.8001098632812,7022.99951171875,917.6871337890625,19113.64453125,240.0,1955.28271484375,1065.0,344.8252258300781,8732.296875,1096.2796630859375,5934.0068359375
2023-12-28,8869.7529296875,4970.783203125,5294.3564453125,3459.494140625,4717.109375,3273.986572265625,10199.4228515625,5961.474609375,1507.239501953125,1371.5531005859375,4885.66845703125,1857.5958251953125,19471.783203125,761.36376953125,1550.726806640625,2690.0,925.6292114257812,1886.4951171875,127.10636901855469,612.5117797851562,7122.26416015625,922.44189453125,19348.03515625,240.0,1947.7335205078125,1100.0,341.376953125,8849.982421875,1087.0672607421875,5934.0068359375
2023-12-29,8869.7529296875,4970.783203125,5229.52734375,3450.75830078125,4759.22607421875,3264.73779296875,10127.5966796875,5961.474609375,1498.4510498046875,1326.6658935546875,4885.66845703125,1885.884033203125,19235.1875,752.950927734375,1541.154296875,2700.0,925.6292114257812,1871.1578369140625,144.05389404296875,607.8001098632812,7246.345703125,941.4613647460938,19284.111328125,240.0,1947.716796875,1080.0,334.48046875,8849.982421875,1087.0672607421875,6052.2138671875
2024-01-02,8893.341796875,5000.74365234375,5294.3564453125,3485.702392578125,4801.34326171875,3283.23486328125,10199.4228515625,5961.474609375,1524.816650390625,1381.528076171875,4885.66845703125,1885.884033203125,19684.71875,748.7445068359375,1550.726806640625,2690.0,933.8206176757812,1940.1759033203125,129.6485137939453,621.9349975585938,7147.0810546875,960.4807739257812,20008.59765625,240.0,2037.7374267578125,1080.0,339.6528625488281,8873.51953125,1077.854736328125,6123.138671875
2024-01-03,8822.5732421875,4934.65478515625,5272.74658203125,3459.494140625,4717.109375,3264.73779296875,10175.48046875,5915.26171875,1494.056640625,1351.603271484375,4832.19287109375,1933.0311279296875,19897.654296875,744.5380249023438,1536.3682861328125,2670.0,929.724853515625,1940.1759033203125,130.49588012695312,607.8001098632812,7295.97802734375,965.2356567382812,19795.51171875,240.0,1972.26806640625,1095.0,339.6528625488281,8755.833984375,1068.642333984375,6075.85595703125
2024-01-04,8940.521484375,5022.7734375,5488.8427734375,3468.230224609375,4801.34326171875,3255.4892578125,10582.5,5961.474609375,1480.873779296875,1366.565673828125,4822.470703125,1970.748779296875,19732.037109375,757.1572875976562,1522.0096435546875,2710.0,937.916259765625,2032.2001953125,131.34326171875,607.8001098632812,7221.529296875,969.990478515625,19838.12890625,240.0,2013.1865234375,1090.0,351.7217102050781,8779.37109375,1041.005126953125,6123.138671875
2024-01-05,9034.880859375,5066.83251953125,5553.67138671875,3398.341552734375,4738.16796875,3255.4892578125,10271.25,5961.474609375,1472.0853271484375,1346.6158447265625,4812.74755859375,1980.1783447265625,19779.35546875,757.1572875976562,1512.4371337890625,2810.0,950.2034301757812,2039.868896484375,130.49588012695312,603.0885009765625,7196.71337890625,946.2162475585938,19816.822265625,240.0,1996.819091796875,1085.0,346.5493469238281,8685.2216796875,1045.611328125,6028.57275390625
2024-01-08,9034.880859375,4956.68408203125,5532.0625,3398.341552734375,4696.05126953125,3218.494873046875,10295.1923828125,5915.26171875,1450.1138916015625,1316.6910400390625,4783.57958984375,1989.607666015625,19519.1015625,744.5380249023438,1522.0096435546875,2710.0,929.724853515625,2016.8626708984375,131.34326171875,593.6652221679688,7097.4482421875,927.1968383789062,19625.044921875,240.0,1996.819091796875,1095.0,343.1011047363281,8685.2216796875,1050.217529296875,5910.365234375
2024-01-09,9082.060546875,5022.7734375,5510.45263671875,3459.494140625,4696.05126953125,3172.25244140625,10558.5576171875,5892.15478515625,1445.7196044921875,1077.292724609375,4686.35205078125,1989.607666015625,19306.166015625,731.918701171875,1522.0096435546875,2510.0,925.6292114257812,2016.8626708984375,135.5801239013672,584.2420043945312,6898.91796875,931.95166015625,19688.970703125,240.0,1988.635498046875,1100.0,334.48046875,8614.611328125,1036.3988037109375,5957.6484375
2024-01-10,9011.291015625,5022.7734375,5553.67138671875,3494.438720703125,4653.93359375,3153.755126953125,10869.8076171875,5869.04833984375,1454.508056640625,1112.2049560546875,4637.73876953125,2027.3253173828125,19519.1015625,731.918701171875,1512.4371337890625,2470.0,929.724853515625,2032.2001953125,137.27488708496094,593.6652221679688,7072.6318359375,908.1773681640625,19859.435546875,240.0,2013.1865234375,1095.0,336.20458984375,8614.611328125,1031.7926025390625,5981.28955078125
2024-01-11,9034.880859375,5066.83251953125,5575.28125,3485.702392578125,4674.99267578125,3153.755126953125,10654.3271484375,5869.04833984375,1436.9310302734375,1057.3428955078125,4530.78857421875,2149.907958984375,19613.740234375,740.3316040039062,1526.7957763671875,2430.0,929.724853515625,2009.194091796875,138.1222686767578,593.6652221679688,6998.18310546875,927.1968383789062,19859.435546875,240.0,2005.002685546875,1105.0,337.9287109375,8755.833984375,1022.5802001953125,5910.365234375
2024-01-12,9152.8291015625,5154.95166015625,5683.32958984375,3503.1748046875,4717.109375,3209.246826171875,10702.2109375,5892.15478515625,1428.1424560546875,1062.3302001953125,4550.234375,2074.472412109375,19566.419921875,740.3316040039062,1526.7957763671875,2460.0,933.8206176757812,2024.5313720703125,138.9696502685547,588.95361328125,6898.91796875,931.95166015625,20370.837890625,240.0,2029.553955078125,1080.0,355.16998291015625,8732.296875,1013.3678588867188,5934.0068359375
2024-01-15,9176.4189453125,5132.921875,5618.50048828125,3494.438720703125,4653.93359375,3172.25244140625,10654.3271484375,5961.474609375,1410.5653076171875,1012.4556274414062,4598.84765625,2149.907958984375,19613.740234375,752.950927734375,1522.0096435546875,2430.0,946.107666015625,2078.212158203125,136.42750549316406,598.3768920898438,6898.91796875,936.7064819335938,21074.017578125,240.0,2054.104736328125,1070.0,353.44586181640625,8614.611328125,1027.1864013671875,5934.0068359375
2024-01-16,9152.8291015625,5132.921875,5640.1103515625,3503.1748046875,4632.875,3153.755126953125,10606.4423828125,5961.474609375,1410.5653076171875,1062.3302001953125,4598.84765625,2140.478271484375,19613.740234375,748.7445068359375,1517.223388671875,2410.0,954.299072265625,2070.54345703125,133.8853759765625,588.95361328125,6824.46923828125,908.1773681640625,20967.474609375,240.0,2045.9212646484375,1070.0,360.3423767089844,8732.296875,1041.005126953125,5839.44091796875
2024-01-17,9200.0087890625,5088.8623046875,5640.1103515625,3485.702392578125,4548.64111328125,3070.518310546875,10654.3271484375,5915.26171875,1410.5653076171875,1047.3677978515625,4598.84765625,2121.619384765625,19306.166015625,744.5380249023438,1512.4371337890625,2530.0,933.8206176757812,2039.868896484375,132.1906280517578,588.95361328125,6650.75537109375,903.4225463867188,20647.84765625,240.0,2037.7374267578125,1040.0,351.7217102050781,8638.1484375,1031.7926025390625,5744.875
2024-01-18,9129.240234375,5066.83251953125,5640.1103515625,3450.75830078125,4527.58251953125,3052.021240234375,10797.98046875,5892.15478515625,1423.7481689453125,1107.2174072265625,4550.234375,2187.62548828125,19258.84765625,740.3316040039062,1512.4371337890625,2670.0,933.8206176757812,2024.5313720703125,132.1906280517578,593.6652221679688,6601.123046875,893.9127807617188,20541.306640625,240.0,2013.1865234375,1045.0,353.44586181640625,8614.611328125,1022.5802001953125,5721.23388671875
2024-01-19,9082.060546875,5110.89208984375,5640.1103515625,3442.02197265625,4506.52392578125,2996.530029296875,11061.345703125,5961.474609375,1445.7196044921875,1082.280029296875,4501.62060546875,2234.7724609375,19235.1875,740.3316040039062,1488.5062255859375,2700.0,942.0120239257812,2009.194091796875,134.73275756835938,603.0885009765625,6601.123046875,893.9127807617188,20519.99609375,240.0,1988.635498046875,1045.0,351.7217102050781,8638.1484375,1036.3988037109375,5721.23388671875
2024-01-22,9082.060546875,5088.8623046875,5618.50048828125,3476.966552734375,4401.23193359375,2885.547119140625,10917.6923828125,5938.3681640625,1445.7196044921875,1087.267578125,4433.5615234375,2263.06103515625,18974.931640625,736.1251831054688,1488.5062255859375,2650.0,917.4378051757812,1955.5133056640625,137.27488708496094,584.2420043945312,6601.123046875,908.1773681640625,19816.822265625,240.0,1964.084228515625,1045.0,344.8252258300781,8473.3876953125,1008.7615966796875,5673.95068359375
